unitid,year,offering_highest_level,inst_size,hbcu,medical_degree,tribal_college,land_grant,inst_affiliation,oncampus_housing,calendar_system,study_abroad,dual_credit,ap_credit,employment_services,placement_services,oncampus_daycare,disability_indicator
101994,2014,3,1,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
102030,2014,3,2,1,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
102049,2014,9,2,0,0,0,0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
102058,2014,7,1,1,0,0,0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
102067,2014,3,2,1,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
102076,2014,3,2,0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
102094,2014,9,4,0,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
102234,2014,8,2,0,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
102261,2014,5,1,0,0,0,0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
102270,2014,5,2,1,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
102298,2014,5,1,1,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
102313,2014,3,2,1,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
102368,2014,9,4,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
102377,2014,9,2,1,1,0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
102395,2014,9,1,0,0,0,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
102429,2014,3,2,0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
102553,2014,9,4,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
102580,2014,5,1,0,0,0,0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
102614,2014,9,3,0,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
102632,2014,7,2,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
102669,2014,9,1,0,0,0,0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
102711,2014,3,1,0,0,0,0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
102845,2014,7,2,0,0,0,0,2.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
103501,2014,3,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
103644,2014,5,2,0,0,0,0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
103723,2014,5,1,0,0,0,0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
103732,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
103741,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
103778,2014,8,1,0,0,0,0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
103787,2014,5,1,0,0,0,0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
103811,2014,1,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
103893,2014,3,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
103909,2014,4,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
103927,2014,3,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
103945,2014,5,1,0,0,0,0,3.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
103954,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
103963,2014,2,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
104090,2014,7,2,0,0,0,0,2.0,0.0,7.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
104151,2014,9,5,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
104160,2014,3,3,0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
104179,2014,9,5,0,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
104188,2014,7,1,0,0,0,0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
104346,2014,3,3,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
104364,2014,5,1,0,0,0,0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
104391,2014,2,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
104425,2014,3,2,0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
104434,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
104443,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
104504,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
104568,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
104577,2014,3,3,0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
104586,2014,7,2,0,0,0,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
104665,2014,7,1,0,0,0,0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
104708,2014,3,5,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
104717,2014,9,5,0,0,0,0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
104911,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
105145,2014,4,3,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
105154,2014,3,5,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
105163,2014,5,1,0,0,0,0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
105172,2014,5,1,0,0,0,0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
105206,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
105215,2014,4,2,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
105297,2014,5,2,0,0,1,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
105330,2014,9,5,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
105349,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
105367,2014,8,1,0,0,0,0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
105428,2014,3,4,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
105482,2014,1,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
105525,2014,3,5,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
105534,2014,5,2,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
105543,2014,3,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
105589,2014,9,1,0,0,0,0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
105659,2014,3,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
105668,2014,3,5,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
105677,2014,1,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
105701,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
105747,2014,3,3,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
105792,2014,3,2,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
105899,2014,5,1,0,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
105987,2014,2,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
106041,2014,3,2,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
106102,2014,7,2,0,0,0,0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
106111,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
106148,2014,3,3,0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
106245,2014,9,4,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
106263,2014,9,2,0,1,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
106281,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
106306,2014,5,1,1,0,0,0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
106315,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
106324,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
106342,2014,5,1,0,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
106351,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
106360,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
106397,2014,9,5,0,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
106412,2014,9,2,1,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
106449,2014,3,2,0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
106458,2014,9,4,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
106467,2014,8,4,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
106485,2014,7,2,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
106494,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
106546,2014,4,1,0,0,0,0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
106625,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
106704,2014,9,4,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
106713,2014,5,1,0,0,0,0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
106795,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
106810,2014,5,1,0,0,0,0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
106829,2014,2,1,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
106883,2014,3,2,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
106892,2014,1,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
106908,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
106980,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
106999,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
107044,2014,9,3,0,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
107071,2014,8,2,0,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
107080,2014,7,2,0,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
107099,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
107123,2014,4,1,0,0,0,0,3.0,0.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
107141,2014,8,2,0,0,0,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
107211,2014,2,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
107220,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
107293,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
107318,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
107327,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
107363,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
107442,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
107460,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
107488,2014,2,1,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
107512,2014,5,2,0,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
107521,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
107549,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
107558,2014,5,1,0,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
107585,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
107600,2014,5,1,1,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
107619,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
107637,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
107655,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
107664,2014,4,3,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
107725,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
107743,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
107789,2014,2,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
107831,2014,2,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
107840,2014,3,1,1,0,0,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
107877,2014,5,1,0,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
107974,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
107983,2014,7,2,0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
107992,2014,3,2,0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
108065,2014,2,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
108092,2014,5,3,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
108232,2014,7,4,0,0,0,0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
108250,2014,5,1,0,0,0,0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
108269,2014,7,1,0,0,0,0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
108348,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
108649,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
108667,2014,3,3,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
108807,2014,4,4,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
108852,2014,4,1,0,0,0,0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
108861,2014,9,1,0,0,0,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108870,2014,7,1,0,0,0,0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
108977,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
109040,2014,3,2,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
109086,2014,7,1,0,0,0,0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
109208,2014,4,5,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
109350,2014,3,4,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
109651,2014,7,2,0,0,0,0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
109721,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
109730,2014,1,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
109785,2014,9,3,0,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
109819,2014,3,4,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
109907,2014,3,2,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
109934,2014,4,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
110060,2014,9,1,0,0,0,0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
110097,2014,9,3,0,0,0,0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
110185,2014,7,1,0,0,0,0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
110194,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
110219,2014,6,2,0,0,0,0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
110246,2014,4,4,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
110307,2014,9,1,0,0,0,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110316,2014,9,2,0,0,0,0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
110334,2014,3,4,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
110361,2014,7,3,0,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
110370,2014,7,2,0,0,0,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
110398,2014,9,2,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
110404,2014,9,2,0,0,0,0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
110413,2014,9,2,0,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
110422,2014,7,5,0,0,0,0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
110468,2014,9,2,0,0,0,0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
110486,2014,7,3,0,0,0,0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
110495,2014,9,3,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
110510,2014,9,4,0,0,0,0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
110529,2014,9,5,0,0,0,0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
110538,2014,7,4,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
110547,2014,8,4,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
