unitid,offering_highest_level,offering_highest_degree,offering_grad,inst_size,hbcu,medical_degree,tribal_college,land_grant,sector,inst_control,fips,inst_affiliation,oncampus_housing,calendar_system,study_abroad,dual_credit,ap_credit,employment_services,placement_services,oncampus_daycare,disability_indicator,disability_percentage,cont_prof_prog_offered,occupational_prog_offered,acceptance_rate,tuition_fees_ft
176080,9.0,11.166666666666666,1.0,4.571428571428571,0.0,1.0,0.0,1.0,1.0,1.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,4.25,1.0,1.0,0.6160336535564047,8613.25925925926
176169,3.388888888888889,40.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,28.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.079084249084248,0.0,1.0,0.7104120276160687,2795.0925925925926
176178,3.2222222222222223,40.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,28.0,1.0,1.0,1.0,0.0,0.8333333333333334,1.0,1.0,1.0,0.0,1.0,7.079084249084248,0.0,1.0,0.7104120276160687,2694.4444444444443
176239,3.7222222222222223,40.0,0.0,2.4285714285714284,0.0,0.0,0.0,0.0,4.0,1.0,28.0,1.0,0.9444444444444444,1.0,0.2222222222222222,1.0,1.0,1.0,1.0,0.0,1.0,7.079084249084248,0.0,1.0,0.859965034965035,2957.9814814814813
176318,5.0,30.0,0.0,1.1428571428571428,1.0,0.0,0.0,0.0,2.0,2.0,28.0,4.0,1.0,1.0,0.8333333333333334,0.3888888888888889,0.6666666666666666,0.2222222222222222,1.0,0.6111111111111112,1.0,7.079084249084248,0.0,0.0,0.4114321061635561,8234.222222222223
176336,5.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,28.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9,5.0,0.4444444444444444,0.0,0.7104120276160687,4456.944444444444
176354,3.388888888888889,40.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,28.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,7.079084249084248,0.0,1.0,0.7104120276160687,2936.8518518518517
176372,9.0,11.11111111111111,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3888888888888889,1.0,7.079084249084248,0.9444444444444444,0.9444444444444444,0.6510070637647957,7843.481481481482
176406,5.444444444444445,27.77777777777778,0.2222222222222222,1.0,1.0,0.0,0.0,0.0,2.0,2.0,28.0,4.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.0,0.9,7.0,0.0,0.0,0.4681111431039447,9568.863636363636
176451,7.555555555555555,18.72222222222222,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,28.0,4.0,0.6111111111111112,3.5,0.0,0.0,0.1111111111111111,0.6111111111111112,0.6111111111111112,0.0,0.0,7.079084249084248,1.0,0.0,1.0,9636.5
